IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
46644,Sedimentary,Conventional Hydrocarbon,Unknown,11615.0,35.08274,-119.41037,California,Los Angeles,San Joaquin Basin,Pacific Coast,Unit No. 35 - 220,4029194950000.0,3093.0,3300.0,,1957-09-07,8.4,32.051,13.508,15.188999999999998,1967.0,51.0,5200.0,9.444,0.0,,51.0,4180.0,336.0,6.997,2.6781,0.7,Pacific,1.7521424368529916
46670,Sedimentary,Conventional Hydrocarbon,Unknown,27186.0,33.67638,-118.0273,California,Orange,Los Angeles Basin,Pacific Coast,State S - 48,4259029610000.0,4625.0,5300.0,,,8.2,31.886199999999995,20.449,35.8,1157.0,91.0,15295.0,19.208,0.0,,59.0,10248.0,73.0,21.216,0.17692,0.4,Pacific,1.4795040564719206
46679,Sedimentary,Conventional Hydrocarbon,Paloma,17688.0,35.17,-119.19,California,Kern,San Joaquin Basin,Pacific Coast,,,11265.0,11700.0,,,6.8,89.58500000000001,2.882,75.25399999999999,2089.7,128.5,8934.9,99.856,0.0,,52.3,5398.8,91.3,61.8813,0.3868,-8.0,Pacific,1.4684163216445973
46680,Sedimentary,Conventional Hydrocarbon,Ia Zone,10792.0,35.51802,-119.85559,California,Kern,San Joaquin Basin,Pacific Coast,66 - 6,4029134790000.0,1758.0,2200.0,,,8.4,94.445,11.366,26.73,2401.0,14.5,4339.2,12.800999999999998,0.0,,15.2,3821.7,29.1,3.478,5.97801672,1.8,Pacific,4.2820548914991186
46681,Sedimentary,Conventional Hydrocarbon,Tulare,32904.0,35.44,-119.72,California,Kern,San Joaquin Basin,Pacific Coast,,,1791.762472,,,,7.3,86.316,45.269,281.1,3284.0,262.8,17345.0,12.834,0.0,,319.1,11620.0,73.3,64.423,1.14821344,0.0,Pacific,14.093107151238016
46682,Sedimentary,Conventional Hydrocarbon,Tulare,14382.0,35.44,-119.72,California,Kern,San Joaquin Basin,Pacific Coast,13 - 23,,3997.0,,,,7.8,16.848599999999998,5.818,35.286,1323.0,130.3,8091.0,30.335,0.0,,180.7,4596.0,1.0,10.308,2.47494,-6.1,Pacific,2.405417441383189
46683,Sedimentary,Conventional Hydrocarbon,Frac,34858.0,35.44663,-119.71053,California,Kern,San Joaquin Basin,Pacific Coast,75b - 33,4029334190000.0,1178.0,2700.0,,,7.2,78.38117,28.408,102.04,7568.5,82.8,14845.0,8.798,0.0,,74.1,12260.0,28.2,26.957000000000004,3.2861334399999995,0.0,Pacific,11.36848898118347
46684,Sedimentary,Conventional Hydrocarbon,Frac,33123.0,35.44663,-119.71053,California,Kern,San Joaquin Basin,Pacific Coast,75b - 33,4029334190000.0,1178.0,2700.0,,,7.4,83.17217000000001,7.803999999999999,98.75,7604.0,199.0,13770.0,9.562,0.0,,70.3,11383.1,29.6,20.021,3.28007344,-0.3,Pacific,11.350069661146934
46686,Sedimentary,Conventional Hydrocarbon,Santa Margarita,13000.0,34.96228,-119.78015,California,Santa Barbara,Central Coastal,Pacific Coast,Russell A No. 15 - 9,4083031050000.0,7070.5,,,1967-01-31,7.8,13.0,55.41,114.06199999999998,235.0,515.0,7673.0,15.68,0.0,,2.0,4473.0,5.0,33.531299999999995,0.09576,0.0,Pacific,1.3104297845137058
46687,Sedimentary,Conventional Hydrocarbon,Painted Rocks,22005.0,35.00586,-119.82469,California,San Luis Obispo,Central Coastal,Pacific Coast,Cuyama No. 2,4079009920000.0,1643.0,1736.0,,1974-11-15,8.1,18.0,52.271,33.768,251.0,320.0,13150.0,411.657,0.0,,56.0,8170.0,35.0,45.889,83.64800000000001,0.0,Pacific,4.414899798220834
