PC1,PC2,PC3,Li
-1.001122696352287,-0.9716574274101468,-0.14569146232481153,
-2.7806290478291755,-1.3709983127138734,0.2473578289984832,
-2.758206677093969,-1.3773609636613644,0.22486948561342,
-2.7713844906258807,-1.2186851094785203,0.2467752817873094,
-2.681812076300532,-1.1543921006882325,0.1855268838341466,
-3.2636969532924898,-1.4046244940336945,0.3124273902476185,
-3.289303909989714,-1.3706746237781682,0.33202570721698194,
-3.146346787321871,-1.2567512880531122,0.2486418592429001,
-3.173984307068117,-1.2744882431915008,0.263526025933498,
-3.363987859302578,-1.3207524069031042,0.4193088502276737,
-3.207595184462226,-1.3848520537828797,0.37215705162939705,
-3.2836268216749205,-1.314742156792555,0.2469055400224669,
-3.30870027805488,-1.6284628382165065,0.4647474746735452,
-3.3421407504053686,-1.3830331373901836,0.4111213380902387,
-3.257204106512349,-1.2993473573231091,0.35327624233665716,
-0.49507474054646644,-0.6644393731437856,-0.4257151336046573,
0.29521137868710545,-0.7721992620840307,-0.4184088607983256,
-2.640358193527291,-1.089488121073282,-0.023013787899083666,
-2.502624263259402,-1.2793804567848017,0.06151731861556039,
-2.6238727492287337,-1.2928603070681686,0.005821640336276389,
-2.6857482350238207,-1.2007208667040974,0.05275444365288047,
-3.1329423441465925,-1.294974069546423,0.18733862639099552,
-2.7974914403822995,-1.1643697960358799,0.21040754950608967,
-3.1531032601513025,-1.3145005102123395,0.31630411490661964,
-3.603513950466985,-1.4275232671733862,0.5646126060245457,
-3.227303312559107,-1.2373990675488837,0.2178028080449528,
-3.3449670406411114,-1.3177084255066445,0.2888840347489624,
-3.404256546812421,-1.2266791836438726,0.32360897653463067,
-3.474581477949559,-1.4453145391358728,0.4954384054832061,
-3.3799166540606618,-1.581326022090985,0.5255289394325916,
-2.8113958630226086,-1.1119913056147295,0.06268897705313739,
-3.176023330025534,-1.3305972023628354,0.3420932794525456,
-3.3652320538531,-1.3613316557439477,0.4202567593433779,
-3.0134976995053697,-0.9580539527333961,0.08599874766880435,
-3.210941617173019,-1.1922455611977703,0.2051367250430895,
-3.121849140083506,-1.1211965340539434,0.13490108875934245,
-2.809528530093829,-1.1088404531937883,0.016648613726491963,
-3.022018708845272,-1.1876649109733304,0.11653955610426378,
-3.050452383855437,-1.0944143284638501,0.10840721664226646,
-3.1620290317850013,-1.1797446416471646,0.21481457733658638,
-2.9392258305370826,-1.4378298878387907,0.31289592551534107,
-2.903596494115407,-1.1524409747763262,0.1997996854945211,
-2.8409473463538046,-1.0242169407460477,0.042070460403893395,
-2.9405481745050763,-1.0658837023734347,0.0669694602619147,
-3.000238150371796,-1.0667931108532889,0.07340488743472014,
-2.774181543192666,-1.1348093640120194,0.019151119395566855,
-2.9186562100079483,-1.1614048889385014,0.09642673003260989,
-3.232078136227202,-1.1280384038496158,0.1942200483738171,
-3.032190097149986,-1.162022243879829,0.16708889085453535,
-3.024498712382442,-1.401030174659515,0.305106909853918,
-3.236964115074695,-1.29337261507388,0.35373363745190145,
-2.976933590189957,-1.210515124857365,0.24017797541429392,
-3.4596059221138193,-1.2942731703883459,0.3276995017186514,
-2.925981361787061,-0.918051194692808,0.05271022590687813,
-3.086568852637011,-1.2230498599698565,0.18574227436194682,
